time,year,fish,port,landings
UTC,,,,pounds
1929-01-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-01-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,6480
1929-01-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-01-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,346824
1929-01-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-02-16T00:00:00Z,1929,"Crab, Dungeness",All,284256
1929-02-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,7464
1929-02-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-02-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,7968
1929-02-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-02-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,268824
1929-02-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-03-16T00:00:00Z,1929,"Crab, Dungeness",All,107760
1929-03-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,4200
1929-03-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-03-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,7872
1929-03-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-03-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,95688
1929-03-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-04-16T00:00:00Z,1929,"Crab, Dungeness",All,41616
1929-04-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,5472
1929-04-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-04-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,2952
1929-04-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-04-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,33192
1929-04-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-05-16T00:00:00Z,1929,"Crab, Dungeness",All,98736
1929-05-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,4944
1929-05-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-05-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,480
1929-05-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-05-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,93312
1929-05-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-06-16T00:00:00Z,1929,"Crab, Dungeness",All,140784
1929-06-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,14496
1929-06-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-06-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,672
1929-06-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-06-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,125616
1929-06-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-07-16T00:00:00Z,1929,"Crab, Dungeness",All,144936
1929-07-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,9048
1929-07-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-07-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,24
1929-07-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-07-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,135864
1929-07-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-08-16T00:00:00Z,1929,"Crab, Dungeness",All,3336
1929-08-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,3336
1929-08-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-08-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,0
1929-08-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-08-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,0
1929-08-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-09-16T00:00:00Z,1929,"Crab, Dungeness",All,0
1929-09-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,0
1929-09-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-09-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,0
1929-09-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-09-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,0
1929-09-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-10-16T00:00:00Z,1929,"Crab, Dungeness",All,0
1929-10-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,0
1929-10-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-10-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,0
1929-10-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-10-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,0
1929-10-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-11-16T00:00:00Z,1929,"Crab, Dungeness",All,245616
1929-11-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,0
1929-11-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-11-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,4848
1929-11-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-11-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,240768
1929-11-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1929-12-16T00:00:00Z,1929,"Crab, Dungeness",All,367848
1929-12-16T00:00:00Z,1929,"Crab, Dungeness",Eureka,10152
1929-12-16T00:00:00Z,1929,"Crab, Dungeness",Los Angeles,0
1929-12-16T00:00:00Z,1929,"Crab, Dungeness",Monterey,6000
1929-12-16T00:00:00Z,1929,"Crab, Dungeness",San Diego,0
1929-12-16T00:00:00Z,1929,"Crab, Dungeness",San Francisco,351696
1929-12-16T00:00:00Z,1929,"Crab, Dungeness",Santa Barbara,0
1930-01-16T00:00:00Z,1930,"Crab, Dungeness",All,194064
1930-01-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,18816
1930-01-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-01-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,264
1930-01-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-01-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,174984
1930-01-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-02-16T00:00:00Z,1930,"Crab, Dungeness",All,281160
1930-02-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,11568
1930-02-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-02-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,0
1930-02-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-02-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,269592
1930-02-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-03-16T00:00:00Z,1930,"Crab, Dungeness",All,172032
1930-03-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,24672
1930-03-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-03-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,288
1930-03-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-03-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,147072
1930-03-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-04-16T00:00:00Z,1930,"Crab, Dungeness",All,166968
1930-04-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,7776
1930-04-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-04-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,192
1930-04-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-04-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,159000
1930-04-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-05-16T00:00:00Z,1930,"Crab, Dungeness",All,388800
1930-05-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,14592
1930-05-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-05-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,0
1930-05-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-05-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,374208
1930-05-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-06-16T00:00:00Z,1930,"Crab, Dungeness",All,81792
1930-06-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,8376
1930-06-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-06-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,144
1930-06-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-06-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,73272
1930-06-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-07-16T00:00:00Z,1930,"Crab, Dungeness",All,92232
1930-07-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,2928
1930-07-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-07-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,96
1930-07-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-07-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,89208
1930-07-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-08-16T00:00:00Z,1930,"Crab, Dungeness",All,288
1930-08-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,288
1930-08-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-08-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,0
1930-08-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-08-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,0
1930-08-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-09-16T00:00:00Z,1930,"Crab, Dungeness",All,0
1930-09-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,0
1930-09-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-09-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,0
1930-09-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-09-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,0
