,lat_42,lat_39
1963-01-01,17.0,11.0
1963-02-01,-101.0,-44.0
1963-03-01,2.0,9.0
1963-04-01,-1.0,14.0
1963-05-01,35.0,81.0
1963-06-01,157.0,254.0
1963-07-01,93.0,155.0
1963-08-01,76.0,160.0
1963-09-01,-1.0,3.0
1963-10-01,-15.0,2.0
1963-11-01,-26.0,-4.0
1963-12-01,-54.0,-11.0
1964-01-01,-72.0,9.0
1964-02-01,35.0,106.0
1964-03-01,22.0,93.0
1964-04-01,147.0,271.0
1964-05-01,89.0,140.0
1964-06-01,72.0,149.0
1964-07-01,122.0,225.0
1964-08-01,99.0,197.0
1964-09-01,85.0,194.0
1964-10-01,-7.0,7.0
1964-11-01,-37.0,-5.0
1964-12-01,-87.0,-11.0
1965-01-01,-79.0,-10.0
1965-02-01,7.0,36.0
1965-03-01,28.0,34.0
1965-04-01,25.0,45.0
1965-05-01,179.0,300.0
1965-06-01,195.0,230.0
1965-07-01,162.0,162.0
1965-08-01,77.0,102.0
1965-09-01,99.0,78.0
1965-10-01,-2.0,9.0
1965-11-01,-101.0,-52.0
1965-12-01,-25.0,3.0
1966-01-01,-47.0,-1.0
1966-02-01,-10.0,3.0
1966-03-01,-12.0,11.0
1966-04-01,100.0,126.0
1966-05-01,237.0,193.0
1966-06-01,94.0,192.0
1966-07-01,139.0,186.0
1966-08-01,182.0,203.0
1966-09-01,24.0,38.0
1966-10-01,17.0,52.0
1966-11-01,-25.0,-12.0
1966-12-01,-85.0,-7.0
1967-01-01,-55.0,-7.0
1967-02-01,6.0,40.0
1967-03-01,3.0,18.0
1967-04-01,30.0,45.0
1967-05-01,178.0,199.0
1967-06-01,195.0,209.0
1967-07-01,230.0,260.0
1967-08-01,142.0,174.0
1967-09-01,41.0,68.0
1967-10-01,-5.0,18.0
1967-11-01,-2.0,0.0
1967-12-01,-5.0,6.0
1968-01-01,-56.0,-10.0
1968-02-01,-104.0,-60.0
1968-03-01,-17.0,2.0
1968-04-01,144.0,225.0
1968-05-01,79.0,111.0
1968-06-01,160.0,240.0
1968-07-01,197.0,222.0
1968-08-01,35.0,62.0
1968-09-01,46.0,76.0
1968-10-01,-2.0,22.0
1968-11-01,-62.0,-7.0
1968-12-01,-97.0,-39.0
1969-01-01,-25.0,-8.0
1969-02-01,-83.0,-47.0
1969-03-01,2.0,16.0
1969-04-01,6.0,42.0
1969-05-01,55.0,112.0
1969-06-01,105.0,145.0
1969-07-01,239.0,340.0
1969-08-01,191.0,357.0
1969-09-01,54.0,118.0
1969-10-01,-2.0,9.0
1969-11-01,-14.0,2.0
1969-12-01,-119.0,-48.0
1970-01-01,-156.0,-141.0
1970-02-01,-62.0,-40.0
1970-03-01,18.0,57.0
1970-04-01,98.0,219.0
1970-05-01,110.0,188.0
1970-06-01,98.0,150.0
1970-07-01,154.0,214.0
1970-08-01,160.0,219.0
1970-09-01,71.0,137.0
1970-10-01,0.0,13.0
1970-11-01,-48.0,-28.0
1970-12-01,-72.0,-16.0
1971-01-01,-1.0,14.0
1971-02-01,13.0,50.0
1971-03-01,-23.0,8.0
1971-04-01,26.0,76.0
1971-05-01,145.0,182.0
1971-06-01,75.0,169.0
1971-07-01,119.0,169.0
1971-08-01,52.0,85.0
1971-09-01,30.0,63.0
1971-10-01,23.0,73.0
1971-11-01,-9.0,8.0
1971-12-01,-8.0,9.0
1972-01-01,-4.0,3.0
1972-02-01,-64.0,-19.0
1972-03-01,-3.0,22.0
1972-04-01,29.0,90.0
1972-05-01,101.0,184.0
1972-06-01,155.0,254.0
1972-07-01,119.0,191.0
1972-08-01,95.0,162.0
1972-09-01,44.0,81.0
1972-10-01,60.0,41.0
1972-11-01,-34.0,-2.0
1972-12-01,-43.0,-2.0
1973-01-01,-89.0,-49.0
1973-02-01,-53.0,-53.0
1973-03-01,32.0,101.0
1973-04-01,125.0,253.0
1973-05-01,106.0,252.0
1973-06-01,125.0,325.0
1973-07-01,186.0,324.0
1973-08-01,198.0,319.0
1973-09-01,19.0,86.0
1973-10-01,6.0,53.0
1973-11-01,-41.0,-7.0
1973-12-01,-116.0,-35.0
1974-01-01,-8.0,1.0
1974-02-01,-17.0,9.0
1974-03-01,-16.0,2.0
1974-04-01,31.0,105.0
1974-05-01,152.0,356.0
1974-06-01,177.0,297.0
1974-07-01,87.0,182.0
1974-08-01,135.0,250.0
1974-09-01,38.0,104.0
1974-10-01,41.0,114.0
1974-11-01,-22.0,2.0
1974-12-01,-23.0,5.0
1975-01-01,-11.0,20.0
1975-02-01,-65.0,-20.0
1975-03-01,6.0,21.0
1975-04-01,89.0,150.0
1975-05-01,101.0,254.0
1975-06-01,220.0,355.0
1975-07-01,133.0,230.0
1975-08-01,123.0,247.0
1975-09-01,72.0,165.0
1975-10-01,-11.0,24.0
1975-11-01,-17.0,19.0
1975-12-01,-12.0,5.0
1976-01-01,-10.0,9.0
1976-02-01,-4.0,9.0
1976-03-01,20.0,101.0
1976-04-01,15.0,59.0
1976-05-01,132.0,331.0
1976-06-01,166.0,304.0
1976-07-01,95.0,249.0
1976-08-01,44.0,111.0
1976-09-01,52.0,134.0
1976-10-01,7.0,79.0
1976-11-01,-23.0,2.0
1976-12-01,-27.0,3.0
1977-01-01,-21.0,0.0
1977-02-01,-57.0,5.0
1977-03-01,44.0,140.0
1977-04-01,27.0,121.0
1977-05-01,36.0,97.0
1977-06-01,203.0,372.0
1977-07-01,192.0,365.0
1977-08-01,79.0,193.0
1977-09-01,32.0,93.0
1977-10-01,4.0,79.0
1977-11-01,-18.0,14.0
1977-12-01,-110.0,-49.0
1978-01-01,-170.0,-112.0
1978-02-01,-68.0,-14.0
1978-03-01,0.0,2.0
1978-04-01,10.0,35.0
1978-05-01,111.0,289.0
1978-06-01,87.0,233.0
1978-07-01,192.0,364.0
1978-08-01,73.0,245.0
1978-09-01,8.0,119.0
1978-10-01,33.0,137.0
1978-11-01,4.0,54.0
1978-12-01,3.0,28.0
1979-01-01,-30.0,-2.0
1979-02-01,-69.0,-6.0
1979-03-01,3.0,14.0
1979-04-01,13.0,36.0
1979-05-01,100.0,243.0
1979-06-01,153.0,309.0
1979-07-01,62.0,170.0
1979-08-01,46.0,141.0
1979-09-01,8.0,88.0
1979-10-01,-4.0,7.0
1979-11-01,-88.0,-17.0
1979-12-01,-146.0,-37.0
1980-01-01,-7.0,-1.0
1980-02-01,-124.0,-77.0
1980-03-01,22.0,91.0
1980-04-01,6.0,62.0
1980-05-01,122.0,264.0
1980-06-01,83.0,195.0
1980-07-01,152.0,233.0
1980-08-01,179.0,338.0
1980-09-01,29.0,116.0
1980-10-01,-3.0,37.0
1980-11-01,-46.0,7.0
1980-12-01,-116.0,-22.0
1981-01-01,-179.0,-90.0
1981-02-01,-39.0,-3.0
1981-03-01,-1.0,24.0
1981-04-01,44.0,191.0
1981-05-01,66.0,250.0
1981-06-01,78.0,318.0
1981-07-01,201.0,346.0
1981-08-01,78.0,216.0
1981-09-01,15.0,107.0
1981-10-01,-1.0,22.0
1981-11-01,-69.0,-17.0
1981-12-01,-105.0,-42.0
1982-01-01,-7.0,8.0
1982-02-01,-31.0,-1.0
1982-03-01,-2.0,0.0
1982-04-01,3.0,14.0
1982-05-01,189.0,329.0
1982-06-01,66.0,114.0
1982-07-01,97.0,189.0
1982-08-01,51.0,123.0
1982-09-01,37.0,144.0
1982-10-01,-22.0,5.0
1982-11-01,-49.0,-8.0
1982-12-01,-97.0,-19.0
1983-01-01,-212.0,-88.0
1983-02-01,-256.0,-142.0
1983-03-01,-129.0,-78.0
1983-04-01,8.0,19.0
1983-05-01,56.0,128.0
